date,daily_electricity
2016-02-02,1758478.0
2016-02-03,1813325.0
2016-02-04,1858339.0
2016-02-05,1790895.0
2016-02-06,1660725.0
2016-02-07,1552909.0
2016-02-08,1749933.0
2016-02-09,1798081.0
2016-02-10,1831792.0
2016-02-11,1825889.0
2016-02-12,1847949.0
2016-02-13,1719215.0
2016-02-14,1596085.0
2016-02-15,1820047.0
2016-02-16,1836239.0
2016-02-17,1861172.0
2016-02-18,1840775.0
2016-02-19,1860874.0
2016-02-20,1708790.0
2016-02-21,1516202.0
2016-02-22,1677481.0
2016-02-23,1741719.0
2016-02-24,1748896.0
2016-02-25,1754653.0
2016-02-26,1776644.0
2016-02-27,1659660.0
2016-02-28,1632728.0
2016-02-29,1803079.0
2016-03-01,1833326.0
2016-03-02,1774421.0
2016-03-03,1816537.0
2016-03-04,1769737.0
2016-03-05,1657639.0
2016-03-06,1621698.0
2016-03-07,1763899.0
2016-03-08,1788703.0
2016-03-09,1800028.0
2016-03-10,1803980.0
2016-03-11,1790077.0
2016-03-12,1604604.0
2016-03-13,1590416.0
2016-03-14,1727940.0
2016-03-15,1754063.0
2016-03-16,1755989.0
2016-03-17,1721202.0
2016-03-18,1705925.0
2016-03-19,1565965.0
2016-03-20,1504276.0
2016-03-21,1665947.0
2016-03-22,1668012.0
2016-03-23,1655343.0
2016-03-24,1633332.0
2016-03-25,1531474.0
2016-03-26,1409701.0
2016-03-27,1245117.0
2016-03-28,1283715.0
2016-03-29,1528995.0
2016-03-30,1530377.0
2016-03-31,1521715.0
2016-04-01,1517609.0
2016-04-02,1366780.0
2016-04-03,1281126.0
2016-04-04,1437162.0
2016-04-05,1463234.0
2016-04-06,1503846.0
2016-04-07,1517519.0
2016-04-08,1550110.0
2016-04-09,1369809.0
2016-04-10,1273063.0
2016-04-11,1435583.0
2016-04-12,1466941.0
2016-04-13,1479077.0
2016-04-14,1483463.0
2016-04-15,1487310.0
2016-04-16,1293751.0
2016-04-17,1273359.0
2016-04-18,1428437.0
2016-04-19,1415406.0
2016-04-20,1451723.0
2016-04-21,1407706.0
2016-04-22,1381441.0
2016-04-23,1322294.0
2016-04-24,1269329.0
